Date : 2022-01-14 11:34:21
Directory : c:\xampp_new\htdocs
Total : 917 files,  405173 codes, 23229 comments, 73654 blanks, all 502056 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| c:\xampp_new\htdocs\www\js\owl.carousel.min.js                                       | JavaScript  |          1 |          0 |          0 |          1 |
| c:\xampp_new\htdocs\www\js\placeholder.js                                            | JavaScript  |         99 |         13 |         49 |        161 |
| c:\xampp_new\htdocs\www\js\rev-slider.js                                             | JavaScript  |        113 |          1 |         36 |        150 |
| c:\xampp_new\htdocs\www\js\tiltfx.js                                                 | JavaScript  |        169 |         52 |         29 |        250 |
| c:\xampp_new\htdocs\www\js\wow.min.js                                                | JavaScript  |          1 |          3 |          1 |          5 |
| c:\xampp_new\htdocs\www\mp-index-01.html                                             | Django HTML |      1,838 |          0 |        350 |      2,188 |
| c:\xampp_new\htdocs\www\mp-index-02.html                                             | Django HTML |      1,838 |          0 |        350 |      2,188 |
| c:\xampp_new\htdocs\www\mp-index-03.html                                             | Django HTML |      1,842 |          0 |        351 |      2,193 |
| c:\xampp_new\htdocs\www\mp-index-04.html                                             | Django HTML |      1,842 |          0 |        351 |      2,193 |
| c:\xampp_new\htdocs\www\mp-index-05.html                                             | Django HTML |      1,846 |          0 |        351 |      2,197 |
| c:\xampp_new\htdocs\www\mp-index-06.html                                             | Django HTML |      1,842 |          0 |        351 |      2,193 |
| c:\xampp_new\htdocs\www\mp-index-07.html                                             | Django HTML |      1,885 |          0 |        366 |      2,251 |
| c:\xampp_new\htdocs\www\mp-index-08.html                                             | Django HTML |      1,885 |          0 |        366 |      2,251 |
| c:\xampp_new\htdocs\www\mp-index-09.html                                             | Django HTML |      1,885 |          0 |        366 |      2,251 |
| c:\xampp_new\htdocs\www\mp-index-10.html                                             | Django HTML |      1,864 |          0 |        354 |      2,218 |
| c:\xampp_new\htdocs\www\mp-index-11.html                                             | Django HTML |      1,840 |          0 |        351 |      2,191 |
| c:\xampp_new\htdocs\www\mp-index-12.html                                             | Django HTML |      1,837 |          0 |        350 |      2,187 |
| c:\xampp_new\htdocs\www\mp-index-13.html                                             | Django HTML |      1,843 |          0 |        353 |      2,196 |
| c:\xampp_new\htdocs\www\mp-index-14.html                                             | Django HTML |      1,843 |          0 |        353 |      2,196 |
| c:\xampp_new\htdocs\www\mp-index-15.html                                             | Django HTML |      1,852 |          0 |        354 |      2,206 |
| c:\xampp_new\htdocs\www\mp-index-16.html                                             | Django HTML |      1,862 |          0 |        346 |      2,208 |
| c:\xampp_new\htdocs\www\mp-index-17.html                                             | Django HTML |      2,057 |          0 |        438 |      2,495 |
| c:\xampp_new\htdocs\www\mp-index-18.html                                             | Django HTML |      2,057 |          0 |        438 |      2,495 |
| c:\xampp_new\htdocs\www\mp-index-19.html                                             | Django HTML |      1,854 |          0 |        354 |      2,208 |
| c:\xampp_new\htdocs\www\mp-index-20.html                                             | Django HTML |      1,877 |          0 |        368 |      2,245 |
| c:\xampp_new\htdocs\www\mp-index.html                                                | Django HTML |      1,837 |          0 |        350 |      2,187 |
| c:\xampp_new\htdocs\www\pages-404.html                                               | Django HTML |        154 |          0 |         37 |        191 |
| c:\xampp_new\htdocs\www\pages-about-1.html                                           | Django HTML |      1,093 |          0 |        217 |      1,310 |
| c:\xampp_new\htdocs\www\pages-about-2.html                                           | Django HTML |      1,217 |          0 |        251 |      1,468 |
| c:\xampp_new\htdocs\www\pages-about-3.html                                           | Django HTML |      1,197 |          0 |        259 |      1,456 |
| c:\xampp_new\htdocs\www\pages-account.html                                           | Django HTML |        878 |          0 |        173 |      1,051 |
| c:\xampp_new\htdocs\www\pages-clients.html                                           | Django HTML |      1,092 |          0 |        184 |      1,276 |
| c:\xampp_new\htdocs\www\pages-contact-1.html                                         | Django HTML |        908 |          0 |        174 |      1,082 |
| c:\xampp_new\htdocs\www\pages-contact-2.html                                         | Django HTML |        901 |          0 |        170 |      1,071 |
| c:\xampp_new\htdocs\www\pages-faq-1.html                                             | Django HTML |        847 |          0 |        149 |        996 |
| c:\xampp_new\htdocs\www\pages-faq-2.html                                             | Django HTML |        855 |          0 |        158 |      1,013 |
| c:\xampp_new\htdocs\www\pages-gallery-1col.html                                      | Django HTML |        827 |          0 |        144 |        971 |
| c:\xampp_new\htdocs\www\pages-gallery-2col.html                                      | Django HTML |        857 |          0 |        164 |      1,021 |
| c:\xampp_new\htdocs\www\pages-gallery-3col.html                                      | Django HTML |        885 |          0 |        176 |      1,061 |
| c:\xampp_new\htdocs\www\pages-gallery-4col.html                                      | Django HTML |        913 |          0 |        188 |      1,101 |
