"filename", "language", "PHP", "Markdown", "XML", "Django HTML", "CSS", "JavaScript", "Django txt", "Python", "SQL", "YAML", "JSON", "comment", "blank", "total"
"c:\xampp_new\htdocs\old\admin\adminer\designs\mvt\adminer.css", "CSS", 0, 0, 0, 0, 656, 0, 0, 0, 0, 0, 0, 16, 147, 819
"c:\xampp_new\htdocs\old\admin\adminer\designs\nette\adminer.css", "CSS", 0, 0, 0, 0, 460, 0, 0, 0, 0, 0, 0, 13, 98, 571
"c:\xampp_new\htdocs\old\admin\adminer\designs\ng9\adminer.css", "CSS", 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 47, 260
"c:\xampp_new\htdocs\old\admin\adminer\designs\nicu\adminer.css", "CSS", 0, 0, 0, 0, 561, 0, 0, 0, 0, 0, 0, 1, 1, 563
"c:\xampp_new\htdocs\old\admin\adminer\designs\pappu687\adminer.css", "CSS", 0, 0, 0, 0, 315, 0, 0, 0, 0, 0, 0, 6, 58, 379
"c:\xampp_new\htdocs\old\admin\adminer\designs\paranoiq\adminer.css", "CSS", 0, 0, 0, 0, 252, 0, 0, 0, 0, 0, 0, 13, 26, 291
"c:\xampp_new\htdocs\old\admin\adminer\designs\pepa-linha\adminer.css", "CSS", 0, 0, 0, 0, 559, 0, 0, 0, 0, 0, 0, 6, 100, 665
"c:\xampp_new\htdocs\old\admin\adminer\designs\pilot\adminer.css", "CSS", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 16, 127
"c:\xampp_new\htdocs\old\admin\adminer\designs\pokorny\adminer.css", "CSS", 0, 0, 0, 0, 251, 0, 0, 0, 0, 0, 0, 42, 2, 295
"c:\xampp_new\htdocs\old\admin\adminer\designs\price\adminer.css", "CSS", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 24, 2, 76
"c:\xampp_new\htdocs\old\admin\adminer\designs\readme.txt", "Django txt", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\xampp_new\htdocs\old\admin\adminer\designs\rmsoft\adminer.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 34, 2, 37
"c:\xampp_new\htdocs\old\admin\adminer\designs\rmsoft_blue\adminer.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 34, 2, 37
"c:\xampp_new\htdocs\old\admin\adminer\editor\db.inc.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\xampp_new\htdocs\old\admin\adminer\editor\example.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 53
"c:\xampp_new\htdocs\old\admin\adminer\editor\include\adminer.inc.php", "PHP", 583, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 68, 659
"c:\xampp_new\htdocs\old\admin\adminer\editor\include\connect.inc.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\xampp_new\htdocs\old\admin\adminer\editor\include\editing.inc.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 54
