Date : 2022-01-10 17:20:23
Directory : c:\xampp_new\htdocs\old
Total : 555 files,  156571 codes, 14759 comments, 25419 blanks, all 196749 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\uk.inc.php                        | PHP        |        271 |         16 |         30 |        317 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\vi.inc.php                        | PHP        |        284 |         16 |         29 |        329 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\xx.inc.php                        | PHP        |        304 |         16 |         30 |        350 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\zh-tw.inc.php                     | PHP        |        304 |         16 |         30 |        350 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\zh.inc.php                        | PHP        |        304 |         16 |         30 |        350 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\plugin.php                             | PHP        |          7 |         33 |          4 |         44 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\privileges.inc.php                     | PHP        |         22 |          1 |          7 |         30 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\procedure.inc.php                      | PHP        |         53 |          0 |          6 |         59 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\processlist.inc.php                    | PHP        |         55 |          1 |          4 |         60 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\schema.inc.php                         | PHP        |        101 |          1 |          9 |        111 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\scheme.inc.php                         | PHP        |         34 |          0 |          5 |         39 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\script.inc.php                         | PHP        |         40 |          1 |          5 |         46 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\select.inc.php                         | PHP        |        545 |          6 |         39 |        590 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\sequence.inc.php                       | PHP        |         31 |          0 |          5 |         36 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\sql.inc.php                            | PHP        |        243 |          3 |         23 |        269 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\sqlite.php                             | PHP        |          9 |          1 |          2 |         12 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\static\default.css                     | CSS        |        104 |          2 |          4 |        110 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\static\editing.js                      | JavaScript |        570 |        148 |         69 |        787 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\static\functions.js                    | JavaScript |        609 |        223 |         82 |        914 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\table.inc.php                          | PHP        |         61 |          0 |          7 |         68 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\trigger.inc.php                        | PHP        |         45 |          1 |          4 |         50 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\type.inc.php                           | PHP        |         29 |          0 |          5 |         34 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\user.inc.php                           | PHP        |        171 |          4 |         15 |        190 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\variables.inc.php                      | PHP        |         15 |          0 |          2 |         17 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\view.inc.php                           | PHP        |         52 |          0 |          7 |         59 |
| c:\xampp_new\htdocs\old\admin\adminer\compile.php                                    | PHP        |        359 |         64 |         31 |        454 |
| c:\xampp_new\htdocs\old\admin\adminer\composer.json                                  | JSON       |         31 |          0 |          1 |         32 |
| c:\xampp_new\htdocs\old\admin\adminer\coverage.php                                   | PHP        |         60 |         20 |          3 |         83 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\brade\adminer.css                      | CSS        |         58 |          4 |          1 |         63 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\bueltge\adminer.css                    | CSS        |        412 |          6 |         10 |        428 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\cvicebni-ubor\adminer.css              | CSS        |        259 |         12 |          2 |        273 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\esterka\adminer.css                    | CSS        |        216 |          0 |         46 |        262 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\flat\adminer.css                       | CSS        |         66 |         22 |         21 |        109 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\galkaev\adminer.css                    | CSS        |        779 |         51 |        161 |        991 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\haeckel\adminer.css                    | CSS        |        420 |         84 |         17 |        521 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\hever\adminer.css                      | CSS        |         48 |          4 |         20 |         72 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\jukin\adminer.css                      | CSS        |         27 |          1 |          2 |         30 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\kahi\adminer.css                       | CSS        |        152 |         67 |         71 |        290 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\konya\adminer.css                      | CSS        |        104 |         10 |         15 |        129 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\lucas-sandery\adminer.css              | CSS        |        680 |         18 |          2 |        700 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\mancave-hever\adminer.css              | CSS        |        147 |         31 |         24 |        202 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\mancave\adminer.css                    | CSS        |        949 |         77 |        189 |      1,215 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\mvt\adminer.css                        | CSS        |        656 |         16 |        147 |        819 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\nette\adminer.css                      | CSS        |        460 |         13 |         98 |        571 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\ng9\adminer.css                        | CSS        |        213 |          0 |         47 |        260 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\nicu\adminer.css                       | CSS        |        561 |          1 |          1 |        563 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\pappu687\adminer.css                   | CSS        |        315 |          6 |         58 |        379 |
