"filename", "language", "HTML", "PHP", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp_new\htdocs\www\portfolio-boxed-gutter-5col.html", "HTML", 934, 0, 0, 0, 0, 112, 160, 1206
"c:\xampp_new\htdocs\www\portfolio-boxed-gutter-blackhover.html", "HTML", 947, 0, 0, 0, 0, 114, 161, 1222
"c:\xampp_new\htdocs\www\portfolio-boxed-titles-2col.html", "HTML", 817, 0, 0, 0, 0, 94, 151, 1062
"c:\xampp_new\htdocs\www\portfolio-boxed-titles-3col.html", "HTML", 895, 0, 0, 0, 0, 106, 157, 1158
"c:\xampp_new\htdocs\www\portfolio-boxed-titles-4col.html", "HTML", 947, 0, 0, 0, 0, 114, 161, 1222
"c:\xampp_new\htdocs\www\portfolio-boxed-titles-5col.html", "HTML", 934, 0, 0, 0, 0, 112, 160, 1206
"c:\xampp_new\htdocs\www\portfolio-boxed-titles-blackhover.html", "HTML", 947, 0, 0, 0, 0, 114, 161, 1222
"c:\xampp_new\htdocs\www\portfolio-lazyload.html", "HTML", 895, 0, 0, 0, 0, 106, 156, 1157
"c:\xampp_new\htdocs\www\portfolio-masonry-2col.html", "HTML", 817, 0, 0, 0, 0, 94, 151, 1062
"c:\xampp_new\htdocs\www\portfolio-masonry-3col.html", "HTML", 817, 0, 0, 0, 0, 94, 151, 1062
"c:\xampp_new\htdocs\www\portfolio-masonry-4col.html", "HTML", 856, 0, 0, 0, 0, 100, 154, 1110
"c:\xampp_new\htdocs\www\portfolio-masonry-5col.html", "HTML", 895, 0, 0, 0, 0, 106, 157, 1158
"c:\xampp_new\htdocs\www\portfolio-masonry-blackhover.html", "HTML", 856, 0, 0, 0, 0, 100, 154, 1110
"c:\xampp_new\htdocs\www\portfolio-parallax.html", "HTML", 783, 0, 0, 0, 0, 84, 168, 1035
"c:\xampp_new\htdocs\www\portfolio-promo.html", "HTML", 886, 0, 0, 0, 0, 118, 216, 1220
"c:\xampp_new\htdocs\www\portfolio-single-1.html", "HTML", 901, 0, 0, 0, 0, 119, 184, 1204
"c:\xampp_new\htdocs\www\portfolio-single-2.html", "HTML", 846, 0, 0, 0, 0, 104, 173, 1123
"c:\xampp_new\htdocs\www\portfolio-single-3.html", "HTML", 972, 0, 0, 0, 0, 142, 206, 1320
"c:\xampp_new\htdocs\www\portfolio-single-4.html", "HTML", 808, 0, 0, 0, 0, 98, 174, 1080
"c:\xampp_new\htdocs\www\portfolio-single-5.html", "HTML", 788, 0, 0, 0, 0, 100, 168, 1056
"c:\xampp_new\htdocs\www\portfolio-wide-2col.html", "HTML", 817, 0, 0, 0, 0, 94, 151, 1062
"c:\xampp_new\htdocs\www\portfolio-wide-3col.html", "HTML", 817, 0, 0, 0, 0, 94, 151, 1062
"c:\xampp_new\htdocs\www\portfolio-wide-4col.html", "HTML", 843, 0, 0, 0, 0, 98, 153, 1094
"c:\xampp_new\htdocs\www\portfolio-wide-5col.html", "HTML", 869, 0, 0, 0, 0, 102, 155, 1126
"c:\xampp_new\htdocs\www\portfolio-wide-blackhover.html", "HTML", 843, 0, 0, 0, 0, 98, 153, 1094
"c:\xampp_new\htdocs\www\portfolio-wide-gutter-2col.html", "HTML", 817, 0, 0, 0, 0, 94, 151, 1062
"c:\xampp_new\htdocs\www\portfolio-wide-gutter-3col.html", "HTML", 817, 0, 0, 0, 0, 94, 151, 1062
"c:\xampp_new\htdocs\www\portfolio-wide-gutter-4col.html", "HTML", 843, 0, 0, 0, 0, 98, 153, 1094
"c:\xampp_new\htdocs\www\portfolio-wide-gutter-5col.html", "HTML", 869, 0, 0, 0, 0, 102, 155, 1126
